year,month,day_of_month,day_of_week,fl_date,origin,origin_city_name,origin_state_nm,dep_time,taxi_out,wheels_off,wheels_on,taxi_in,cancelled,air_time,distance,weather_delay,late_aircraft_delay
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,850.0,29.0,919.0,1145.0,8.0,0,146.0,1096,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1403.0,24.0,1427.0,1616.0,10.0,0,169.0,1197,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2126.0,19.0,2145.0,18.0,5.0,0,153.0,1013,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1911.0,14.0,1925.0,2106.0,5.0,0,101.0,700,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2227.0,13.0,2240.0,13.0,6.0,0,93.0,594,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2123.0,25.0,2148.0,14.0,7.0,0,326.0,2342,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2115.0,18.0,2133.0,2336.0,5.0,0,183.0,1251,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,830.0,17.0,847.0,1103.0,12.0,0,136.0,1089,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2116.0,22.0,2138.0,2342.0,4.0,0,124.0,919,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1325.0,14.0,1339.0,1607.0,3.0,0,208.0,1501,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2053.0,12.0,2105.0,2259.0,6.0,0,294.0,2174,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2239.0,23.0,2302.0,56.0,8.0,0,114.0,700,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2121.0,19.0,2140.0,2347.0,5.0,0,127.0,946,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1431.0,14.0,1445.0,1707.0,4.0,0,142.0,1089,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2101.0,31.0,2132.0,2320.0,4.0,0,108.0,802,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2133.0,28.0,2201.0,2338.0,8.0,0,157.0,1103,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,906.0,17.0,923.0,1155.0,14.0,0,332.0,2342,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1236.0,23.0,1259.0,1608.0,4.0,0,129.0,1107,0,32
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2113.0,24.0,2137.0,9.0,7.0,0,152.0,1089,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1533.0,15.0,1548.0,1850.0,4.0,0,122.0,1045,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1018.0,29.0,1047.0,1338.0,4.0,0,291.0,2088,0,0
